Référence ENI,Titre,Sous-titre,Mention de responsabilité,Edition,Date d'édition,Nom auteur1,Prénom auteur1,Nom auteur2,Prénom auteur2,Nom auteur3,Prénom auteur3,Nom auteur4,Prénom auteur4,Nom auteur 5,Prénom auteur 5,Nom auteur 6,Prénom auteur 6,Nº pages,Langue,Langue d'origine,Pays de publication,Forme de la ressource,Données codées,Préface,Résumé,Type de ressource,Type de ressource électronique,Note sur la configuration requise,ISBN (Version Imprimée),Version imprimée,ISBN (Version Num.),Version numérique,Ville,Editeur,Année d'édition,Type de document électronique,Collection,URL,Accès au travers du portail ENI,Mot clé 1,Mot clé 2,Mot clé 3,Mot clé 4,Mot clé 5,Mot clé 6,Mot clé 7,Mot clé 8,Mot clé 9,Mot clé 10,Mot clé 11,Mot clé 12,Mot clé 13,Mot clé 14,Mot clé 15,Mot clé 16,Mot clé 17,Mot clé 18,Mot clé 19,Mot clé 20,Mot clé 21,Mot clé 22,Mot clé 23,Mot clé 24,Mot clé 25,Mot clé 26,Mot clé 27,Mot clé 28,Mot clé 29,Mot clé 30,Mot clé 31,Mot clé 32,Mot clé 33,Mot clé 34
RB8.1WIND,Démarrer avec Windows 8.1,,Collectif,,Édition du 12 mars 2014,,,,,,,,,,,,,320,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre vous présente le nouvel environnement de Microsoft ; il est destinée à toute personne souhaitant prendre en main rapidement ce nouvel environnement, que votre ordinateur soit équipé ou pas d'un écran tactile : si vous êtes novice en informatique, ce livre vous guidera pas-à-pas pour vous apprendre à utiliser votre ordinateur ; si vous avez déjà utilisé un ordinateur sous une précédente version de Windows, il vous aidera à vous retrouver dans ce nouvel environnement : comment démarrer votre PC, comment s'y retrouver dans l'interface Windows 8 et l'interface Bureau, comment faire maintenant que le bouton Démarrer a disparu et que les fenêtres n'ont plus de barre de titre !  Il s'agit de clarifier des notions essentielles pour apprendre à travailler efficacement dans ce nouvel environnement : qu'est-ce qu'un compte Microsoft, à quoi peut me servir SkyDrive, quelle différence entre l'interface Windows 8 et l'interface Bureau, comment retrouver mes applications et quelles sont les nouvelles méthodes de travail à acquérir ?
Les principaux éléments d'interface vous sont présentés dans le détail (la page d'accueil, les vignettes, la barre de basculement, les fenêtres Windows 8...) ainsi que toutes les manipulations qui vous permettront de gérer vos fichiers, images, vidéos... : classer ces fichiers dans des dossiers pour les retrouver facilement, apprendre à les déplacer, les copier sur une clé USB, les graver sur CD ou encore les partager sur Skydrive pour que d'autres personnes puissent y accéder.
Les principales applications livrées en standard avec Windows vous sont présentées : l'applications Photos, la Visionneuse de photos (pour visualiser et imprimer vos photos), le Lecteur Windows Media (pour écouter votre musique et visionner vos vidéos), les applications Contacts et Courrier (pour envoyer et recevoir des e-mails), Internet Explorer 11 (pour surfer sur Internet). le Reader (pour lire des fichiers pdf) et le Calendrier (pour gérer votre agenda). 
Pour terminer, nous vous présentons comment personnaliser votre environnement (changer les couleurs de l'interface, ajouter une photo en fond d'écran...) et installer imprimantes et applications.
Ce livre a été rédigé avec la version 8.1 de Windows sortie en octobre 2013.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8756-9,Version imprimée,978-2-7460-8901-3,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Référence Bureautique,%SITE_CLIENT%/?library_guid=b7c7484a-150e-4c6e-8e52-ee7f30bc64e0,Accès au travers du portail ENI,Microsoft ,système d'exploitation ,OS ,Explorateur ,Media Player ,bureau ,Metro ,Métro ,windows8 ,windows 8.1 ,Skydrive ,IE10 ,IE ,Internet Explorer ,Lecteur Windows Media,,,,,,,,,,,,,,,,,,,
RI13EXCS,Exchange Server 2013,Configuration et gestion de votre environnement de messagerie,"Loïc Thobois, Brahim Nedjimi",,Édition du 12 mars 2014,Thobois,Loïc ,Nedjimi,Brahim ,,,,,,,,,544,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur Exchange Server 2013 va vous permettre de passer en revue les principaux sujets et composants liés à la planification, l'installation, la configuration et la maintenance de Microsoft Exchange Server 2013. à l'aide des nombreux exemples et situations détaillées, vous serez capable de monter une infrastructure complète et sécurisée représentative des conditions réelles de mise en production d'une infrastructure de messagerie s'appuyant sur Microsoft Exchange Server 2013.
Après un rappel sur les interactions entre Exchange Server et l'annuaire Active Directory, les auteurs détaillent l'installation du serveur au sein d'une organisation puis présentent les principaux outils d'administration et l'ensemble des critères vous permettant d'évaluer l'architecture de l'infrastructure Exchange Server 2013 à mettre en place. Dans les chapitres suivants, les auteurs détaillent l'implémentation des services de Boîte aux lettres, d'Accès client, du rôle Transport Edge ainsi que la gestion des objets destinataires, des listes d'adresses. Avec les derniers chapitres vous pourrez sécuriser les accès à votre infrastructure Exchange Server 2013, mettre en place une solution de haute disponibilité ainsi qu'une stratégie de sauvegarde de vos données Exchange.
Ce livre sera votre compagnon pour tous vos projets d'implémentation et d'administration en vous apportant pas à pas les connaissances nécessaires au bon déroulement de ceux-ci.

Les chapitres du livre :
Avant-propos - Introduction à Exchange 2013 - Intégration à Active Directory - Pré-requis et installation d'Exchange 2013 - Présentation des outils d'administration - Dimensionnement et architecture - Services de boîtes aux lettres - Services d'accès client - Configuration des composants de transport - Implémentation du rôle Transport Edge - Administration des objets destinataires - Gestion des listes d'adresses - Mise en place de la sécurité - Implémentation de la haute disponibilité - Support opérationnel d'Exchange 2013",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8771-2,Version imprimée,978-2-7460-8894-8,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=79a289ed-c366-4aea-98d8-60948b69f9c0,Accès au travers du portail ENI,messagerie ,microsoft ,communication unifiée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI25PH5MY,PHP et MySQL,Maîtrisez le développement d'un site Web dynamique et interactif,Olivier Heurtel,2e édition,Édition du 12 mars 2014,Heurtel,Olivier ,,,,,,,,,,,708,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur PHP et MySQL s'adresse aux concepteurs et développeurs qui souhaitent utiliser PHP et MySQL pour développer un site Web dynamique et interactif.
Dans la première partie du livre, l'auteur présente la mise en œuvre d'une base de données MySQL : langage SQL (Structured Query Language), utilisation des fonctions MySQL, construction d'une base de données (tables, index, vues), sans oublier les techniques avancées comme la recherche en texte intégral ou le développement de procédures stockées.
Dans la deuxième partie du livre, après une présentation des fonctionnalités de base du langage PHP, l'auteur se focalise sur les besoins spécifiques du développement de sites dynamiques et interactifs en s'attachant à apporter des réponses précises et complètes aux problématiques habituelles : gestion des formulaires, gestion des sessions, envoi de courriers électroniques et bien s&ucirc;r accès à une base de données MySQL.
Abondamment illustré d'exemples commentés, ce livre (écrit sur les versions 5.5 de PHP et 5.6 de MySQL) est à la fois complet et synthétique et vous permet d'aller droit au but.
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr.

Les chapitres du livre :
Introduction - Introduction à MySQL - Utiliser les fonctions MySQL - Construire une base de données dans MySQL - Techniques avancées avec MySQL - Introduction à PHP - Utiliser les fonctions PHP - écrire des fonctions et des classes PHP - Gérer les erreurs dans un script PHP - Gérer les formulaires et les liens avec PHP - Accéder à une base de données MySQL - Gérer les sessions - Annexes",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8763-7,Version imprimée,978-2-7460-8892-4,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=ae442fcb-a813-4ab1-b7c6-f55365750001,Accès au travers du portail ENI,livre php ,livre mysql ,langage ,développement ,SGBDR ,SGBD ,Base de données relationnelle ,site interactif ,pages dynamiques,,,,,,,,,,,,,,,,,,,,,,,,,
RIRASP,Raspberry Pi,Exploitez tout le potentiel de votre nano-ordinateur,François Mocq,,Édition du 12 mars 2014,Mocq,François ,,,,,,,,,,,592,fre,fre,FR,s,drcn#nnnmnnbn,,"L'objectif de ce livre est de fournir au lecteur des bases solides pour explorer les ressources offertes par le Raspberry Pi tant du point de vue du système d'exploitation que du développement et de l'interfaçage physique. Aucun prérequis en Linux, en programmation ou en électronique n'est nécessaire.
Après une présentation physique du Raspberry Pi, vous aurez un aperçu des systèmes d'exploitation que vous pouvez utiliser avec cet ordinateur. Vous serez guidé pour installer rapidement le système d'exploitation de votre choix sur une carte SD et rendre votre Raspberry Pi opérationnel. L'utilisation de NOOBS, outil d'installation d'un système, de récupération de la carte SD et de gestion du multiboot est expliquée en détail. Une première étape de découverte du système Linux à travers la ligne de commande précède la mise en œuvre du Raspberry Pi en mode graphique. Vous verrez comment utiliser des mémoires de masse externes (clé USB, disque dur USB) et faire démarrer le Raspberry Pi sur un de ces supports de stockage externes. Vous apprendrez à utiliser les environnements de développement disponibles pour le Raspberry Pi : en Scratch et en Python. La description du GPIO suivie d'exemples d'utilisation des ports d'entrée-sortie du Raspberry Pi et de mise en œuvre de cartes d'interface ouvrent la voie à des applications dans lesquelles le Raspberry Pi interagit avec le monde physique. Vous apprendrez comment transformer votre Raspberry Pi en poste bureautique avec la suite LibreOffice (édition et impression), en média-center avec XBMC, en serveur web avec lighttpd et WordPress, ou en serveur de flux vidéo avec VLC.
Enfin, dans le chapitre sur le dépannage, vous découvrirez comment utiliser les voyants du Raspberry Pi pour établir un premier diagnostic. Les principaux dysfonctionnements constatés sur le Raspberry Pi sont également expliqués avec des solutions à mettre en œuvre pour les corriger.
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr.

Les chapitres du livre :
Avant-propos - Le Raspberry Pi - Description technique - Systèmes d'exploitation disponibles - Préparer la carte SD - Démarrer Raspbian - Utiliser la ligne de commande - Utiliser le mode graphique - Utiliser une mémoire de masse externe - Démarrer sur un disque externe - Que faire avec le Raspberry Pi ? - Programmer en Scratch - Programmer en Python - Le GPIO du Raspberry Pi - Les périphériques - Dépanner le Raspberry Pi",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8777-4,Version imprimée,978-2-7460-8890-0,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=6b806638-df6f-41e9-a0a3-48856dbc8531,Accès au travers du portail ENI,raspberrypi ,arduino ,scratch ,python ,noobs ,XBMC ,lighttpd ,vlc ,linux ,gpio ,raspi ,raspian,,,,,,,,,,,,,,,,,,,,,,
SFCCPHO,Photoshop CC,pour PC/Mac,Didier Mazier,,Édition du 12 mars 2014,Mazier,Didier ,,,,,,,,,,,490,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre de la collection Studio Factory détaille chaque fonction de Adobe Photoshop CC, la version Cloud du logiciel de référence en matière de retouches d'images : après une présentation de l'environnement de travail, des fonctionnalités Creative Cloud et des différents formats de fichiers gérés par Photoshop, vous découvrirez toutes les techniques de sélection, apprendrez à exploiter les modes de couleurs des images, les calques, les styles et les modes de fusion afin de réaliser des montages variés.
Vous pourrez personnaliser ces montages par l'intégration de dessin et de texte, la création de formes personnalisées. Vous découvrirez ensuite les multiples fonctions de retouches et de corrections ainsi que les transformations qui peuvent être apportées aux images.
Vous vous ouvrirez aux possibilités artistiques avec le traitement HDR des photos, la correction de l'objectif et le redressement des perspectives à l'aide du grand angle adaptatif, le pinceau mélangeur, le déplacement basé sur le contenu…
Vous verrez comment obtenir des effets saisissants à l'aide des nombreux filtres dont les effets de flou par zone, vous verrez comment détourer les images par la réalisation de tracés et l'outil d'amélioration des contours de sélection, comment créer des images et exporter des CSS pour le Web, exploiter les couches pour créer un masque ou remplacer des encres de couleur quadri. Vous découvrirez l'outil de gestion des vidéos qui combine simplicité et puissance de Photoshop en matière de retouche et de création.
Vous apprendrez également à tirer parti des fonctionnalités 3D désormais intégrées à la version CC, à simplifier le workflow d'amélioration et de retouche d'images avec Camera Raw maintenant intégré en tant que filtre et à automatiser les tâches en créant des actions (scripts).",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8760-6,Version imprimée,978-2-7460-8898-6,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Studio Factory,%SITE_CLIENT%/?library_guid=c6c73035-957d-4b8a-8a11-d536dbd80a6a,Accès au travers du portail ENI,livre ,Ouvrage ,Adobe ,Retouche image ,photo ,Bitmap ,Bridge ,bichromie ,script ,détourage ,livre numérique ,livres numériques ,e-book ,ebook ,livre électronique ,livres électroniques ,Camera Raw ,cloud,,,,,,,,,,,,,,,,
CE13EXCS,Exchange Server 2013,Préparation à la certification MCSE Messaging - Examen 70-341,"Loïc Thobois, Brahim Nedjimi",,Édition du 12 février 2014,Thobois,Loïc ,Nedjimi,Brahim ,,,,,,,,,612,fre,fre,FR,s,drcn#nnnmnnbn,,"L'examen 70-341 - Core Solutions of Microsoft Exchange Server 2013 est l'un des examens obligatoires pour l'obtention de la certification MCSE (Microsoft Certified Solutions Expert) Messaging. 
Pour vous aider à préparer efficacement l'examen, ce livre couvre tous les objectifs officiels, tant d'un point de vue théorique que d'un point de vue pratique. Il a été rédigé en français (il ne s'agit pas d'une traduction) par deux auteurs consultants et formateurs. Ainsi, leurs savoir-faire pédagogique et technique conduisent à une approche claire et visuelle, d'un très haut niveau technique. 
Chapitre après chapitre, vous pourrez valider vos acquis théoriques, à l'aide d'un grand nombre de questions-réponses (111 au total) mettant en exergue aussi bien les éléments fondamentaux que les caractéristiques spécifiques aux concepts abordés. 
Chaque chapitre s'achevant par des travaux pratiques (48 au total) vous aurez les moyens de mesurer votre autonomie. Ces manipulations concrètes, au-delà même des objectifs fixés par l'examen, vous permettront de vous forger une première expérience significative et d'acquérir de véritables compétences techniques sur des mises en situations réelles.
À cette maîtrise du produit et des concepts, s'ajoute la préparation spécifique à la certification : vous pourrez accéder gratuitement à 1 examen blanc en ligne, destiné à vous entraîner dans des conditions proches de celles de l'épreuve. Sur ce site, chaque question posée s'inscrit dans l'esprit de la certification et, pour chacune, les réponses sont suffisamment commentées pour combler ou identifier vos ultimes lacunes.

Les chapitres du livre :
Descriptif - Introduction à Exchange 2013 - Intégration à Active Directory - Pré-requis et installation d'Exchange 2013 -Présentation des outils d'administration - Dimensionnement et architecture - Services de boîtes aux lettres - Services d'accès client - Configuration des composants de transport - Implémentation du rôle Transport Edge - Administration des objets destinataires - Gestion des listes d'adresses - Mise en place de la sécurité - Implémentation de la haute disponibilité - Support opérationnel d'Exchange 2013",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8689-0,Version imprimée,978-2-7460-8822-1,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Certifications,%SITE_CLIENT%/?library_guid=07c2a566-746e-4f7c-9766-21c1f0250929,Accès au travers du portail ENI,Microsoft ,MCP ,70-341- microsoft ,messagerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EI2SYM,Symfony2,Développez des sites web PHP structurés et performants,Bilal Amarni,,Édition du 12 février 2014,Amarni,Bilal ,,,,,,,,,,,514,fre,fre,FR,s,drcn#nnnmnnbn,Préface de Jordi BOGGIANO - Membre de l'équipe Symfony - Créateur de Composer,"Ce livre sur Symfony2 s'adresse aux développeurs, chefs de projets, directeurs techniques, qui souhaitent, grâce à ce framework, structurer et organiser leurs développements PHP au sein d'un cadre de travail robuste et professionnel. La maîtrise de la programmation objet avec PHP est un prérequis indispensable pour tirer le meilleur parti de ces pages. 
Le livre couvre les principaux composants de Symfony2, considéré aujourd'hui comme le framework PHP de référence. Il fournit les connaissances de base qui permettent non seulement de créer un site web, mais également de comprendre et maîtriser son fonctionnement en détail. Un chapitre entier est par exemple consacré à l'architecture du framework.
Les sujets détaillés vont de l'installation de Symfony à la création de tests unitaires et fonctionnels. La gestion des formulaires, des interactions avec une base de données, des templates ou même de la sécurité de l'application sont autant de thèmes exposés dans le livre.
Le temps de chargement des pages d'un site web étant un élément crucial, un chapitre délivre les techniques et astuces pour fortement améliorer les performances d'une application.
L'auteur a structuré les chapitres pour faciliter l'apprentissage de Symfony2 et il dévoile au fil des pages des conseils, bonnes pratiques et exemples détaillés.

Les chapitres du livre :
Préface - Avant-propos - Architecture du framework - Débuter avec Symfony2 - Routage et contrôleur -L'injection de dépendances - Les templates avec Twig - Les bases de données avec Doctrine2 - Le répartiteur d'événements - Utiliser les formulaires - La sécurité - Améliorer les performances de son application - Annexes",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8690-6,Version imprimée,978-2-7460-8839-9,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Expert IT,%SITE_CLIENT%/?library_guid=2d9d6682-8cab-43b4-8634-9ddce917deaa,Accès au travers du portail ENI,framework ,web ,symfony 2 ,twig ,doctrine ,doctrine2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EI3.2JOO,Maîtriser Joomla!,Guide professionnel du développement d'applications,"Vincent Perdereau, Christophe Demko",2e édition,Édition du 12 février 2014,Perdereau,Vincent ,Demko,Christophe ,,,,,,,,,382,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur Joomla! (en version 3.2 au moment de la rédaction) est une référence unique et complète pour le développement d'applications avec Joomla! Il s'adresse aux développeurs PHP désireux d'exploiter la richesse et la puissance de l'écosystème Joomla! pour créer des applications internet de très haute facture. Il a été conçu à la fois comme un guide permettant de mettre en œuvre les concepts inhérents au fonctionnement de cet outil mais aussi comme une description exhaustive des classes et méthodes du cadre applicatif sur lequel s'appuie celui-ci. 
Après une description de l'architecture générale de Joomla!, les auteurs décrivent avec précision le cheminement depuis la demande d'accès à une page internet jusqu'à son affichage sur le navigateur de l'internaute. C'est à travers un exemple concret que le chapitre 3 détaille la procédure à suivre pour développer des modules et le chapitre 4 est consacré au développement de composants, ceux-ci constituant la colonne vertébrale du système de gestion de contenus. Le chapitre 5 détaille la création de templates et le chapitre 6 décrit le développement des plugins utilisés pour compléter les fonctions intrinsèques du système. Enfin, le chapitre 7 constitue la documentation de référence de l'ensemble des classes non décrites dans les autres chapitres.
Ecrit par Christophe Demko, membre de l'équipe de développement de Joomla!, puis enrichi sur cette nouvelle édition par Vincent Perdereau, développeur de sites Joomla! depuis la version 1.5, ce livre est le reflet fidèle des concepts à utiliser pour le développement d'applications internet fiables. Rempli de conseils d'experts sur tous les aspects de la programmation avec Joomla!, il sera votre guide de référence dans vos tâches de développement d'applications.
Des éléments complémentaires sont disponibles en téléchargement sur www.editions-eni.fr.

Les chapitres du livre :
Avant-propos - Introduction - Cheminement d'une requête utilisateur - Développement de modules - Développement de composants - Développement de plugins - Les templates - Les outils de la librairie",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8694-4,Version imprimée,978-2-7460-8837-5,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Expert IT,%SITE_CLIENT%/?library_guid=75abba27-63f1-4c68-a27b-398c1949813b,Accès au travers du portail ENI,php ,joomla ,joomla !,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EI8.1WCSHA,C# et XAML sous Windows 8.1,Développez des applications Windows Store,"Nathanaël Marchand, Loïc Rebours",,Édition du 12 février 2014,Marchand,Nathanaël ,Rebours,Loïc ,,,,,,,,,454,fre,fre,FR,s,drcn#nnnmnnbn,Préface de David CATUHE - Senior Program Manager - Microsoft Corp.,"Ce livre a pour objectif de guider le lecteur à travers les différentes étapes à suivre pour concevoir, développer, tester et déployer une application Windows Store en C# et XAML. Il s'adresse aussi bien à des débutants en .NET qu'à des profils plus avancés. Des contrôles de base aux API de stockage, du cycle de vie des applications aux contrats et extensions, de l'asynchronisme aux notifications, des outils de débogage aux APIs orientées business, vous verrez l'ensemble des notions indispensables pour vous lancer dans le développement Windows 8.1. Vous découvrirez également comment monétiser votre application, comment obtenir rapidement un retour sur investissement et comment tirer parti des opportunités offertes par le Windows Store.
À travers seize chapitres, l'ouvrage présente le développement Windows 8.1 de façon didactique. Chaque notion est systématiquement accompagnée d'un exemple de code et de multiples exemples concrets, issus pour la plupart de cas réels. Ainsi, en téléchargement sur le site www.editions-eni.fr, vous trouverez les exemples de code illustrant les fonctionnalités ci-après : utiliser les contrôles WinRT, naviguer dans une application et mettre en cache les pages, utiliser l'asynchronisme, stocker et consommer des données en local, concevoir une application qui s'adapte à n'importe quel écran, tirer parti des tuiles et notifications, implémenter les contrats et extensions, utiliser les API Business, implémenter un mode d'évaluation et des achats dans l'application, créer une architecture de code solide…
Ce livre n'a qu'un seul objectif, vous fournir l'ensemble des connaissances pour faire de vous des développeurs professionnels d'applications Windows Store. L'ensemble des techniques et astuces présentes dans le livre vous fera gagner du temps et vous aidera à écrire un code de qualité.

Les chapitres du livre :
Présentation du développement Windows 8 - Les bases du développement WinRT - Cycle de vie d'une application - L'asynchronisme - Stockage des données - états visuels d'une application - Vignettes et notifications  - Interagir avec l'écosystème : les contrats - Tirer parti du matériel - Interagir avec le système : les extensions - Les opportunités métiers - Monétiser une application - Architecturer une application - Diagnostiquer et tester une application - Windows Store - Aller plus loin",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8700-2,Version imprimée,978-2-7460-8828-3,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Expert IT,%SITE_CLIENT%/?library_guid=b5759339-405f-4879-b065-f149f864dcc4,Accès au travers du portail ENI,winrt ,api ,.NET ,dot net ,microsoft ,développement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPBIGHA,Big Data,Concepts et mise en oeuvre de Hadoop,Laurent Jolia-Ferrier,,Édition du 12 février 2014,Jolia-Ferrier,Laurent ,,,,,,,,,,,207,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur Hadoop (versions 1 et 2), vise deux types de publics : 
Il s'adresse d'une part aux décideurs, qu'ils soient techniciens (responsable informatique, spécialiste de Business Intelligence...) ou pas (responsable de la stratégie, directeur général...), et vise à démystifier le Big Data et Hadoop. Dans les chapitres concernés, les termes techniques sont limités au strict minimum et l'accent est mis, à chaque fois que cela est pertinent, sur l'utilisation et l'impact potentiel du Big Data et de Hadoop : Vue globale de Hadoop, Principaux apports de la version 2, Mettre en œuvre un cluster Hadoop, Hadoop : quand l'utiliser ?...
Il s'adresse également aux informaticiens, étudiants ou en activité, qui recherchent une première introduction en français, simple (sans être simpliste) et relativement exhaustive, au Big Data et à Hadoop. Les lecteurs concernés seront particulièrement intéressés par les chapitres suivants : Installer Hadoop sur une station de travail, HDFS, MapReduce, Les apports de la version 2, Aspects matériels, L'éco-système de Hadoop, Développer des programmes Hadoop, Mettre en oeuvre un cluster Hadoop... 
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr.

Les chapitres du livre :
Avant-propos - Introduction - Installer Hadoop sur une station de travail - Une vue globale de Hadoop - HDFS - MapReduce - Les apports de la version 2 de Hadoop - Aspects matériels - L'écosystème de Hadoop - Développer des programmes Hadoop - Mettre en œuvre un cluster Hadoop - Quand utiliser Hadoop ? - Conclusion",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-0868-3,Version imprimée,978-2-7460-8836-8,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=22b36ab1-d7a0-42ab-bb69-d36a10439e42,Accès au travers du portail ENI,livre hadoop ,apache ,bigdata ,bi ,cluster ,hdfs ,mapreduce,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBEMAI,E-mailing,"Fidélisation, acquisition : réussir ses campagnes marketing",Emmanuel Robin,,Édition du 12 février 2014,Robin,Emmanuel ,,,,,,,,,,,234,fre,fre,FR,s,drcn#nnnmnnbn,,"L'e-mail est aujourd'hui un outil de communication sur le web incontournable. Malgré la concurrence des nouveaux médias, comme les réseaux sociaux, une image altérée en raison du spam, certains risques comme le phishing et le pouvoir de décision maîtrisé et revendiqué par les utilisateurs d'internet, l'e-mail reste le support préféré des internautes pour recevoir des informations commerciales.
La démocratisation du smartphone, des tablettes et la possibilité de lire ses messages à tout moment ont redynamisé son impact et son potentiel. Pour un site e-commerce, les campagnes d'e-mailing sont obligatoires afin de valoriser les produits ; pour toute autre activité, elles sont indispensables.
Que ce soit comme outil de fidélisation (newsletter, e-mail transactionnel...) ou comme outil de conquête, la création d'e-mails et toute la stratégie marketing autour de l'e-mailing doivent se faire avec beaucoup de rigueur.
Ce livre s'adresse aux directeurs marketing, responsables communication, webdesigners et à tous professionnels souhaitant communiquer sur Internet.
En huit chapitres, vous y trouverez toutes les informations nécessaires pour vous lancer dans des campagnes de e-mailing :
- l'état du marché actuel,
- la bonne stratégie à mettre en place,
- les différents moyens légaux de collecte d'abonnés,
- la manière de concevoir des messages remplissant les trois missions fondamentales : être lus correctement par tous les supports de lecture, passer à travers les filtres anti-spam, convaincre votre destinataire de passer à l'action,
- savoir choisir ses différents outils techniques,
- comprendre les différents résultats, positifs et négatifs,
- anticiper les évolutions futures.
 Vous pourrez alors mettre en place ou affiner vos campagnes e-mailing et optimiser votre ROI.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-7460-8679-1,Version imprimée,978-2-7460-8841-2,Version numérique,St-Herblain,Editions ENI,2014,Données textuelles et illustrations sur pages HTML,Marketing Book,%SITE_CLIENT%/?library_guid=8bbc0505-024e-41f4-8713-7e2c2616e85e,Accès au travers du portail ENI,Email ,emailing ,newsletter ,spam ,ESP ,prospection ,adresses ,collecte ,base de contacts ,base de données ,prospect ,concours ,coregistration ,co-registration ,affiliation ,message ,délivrabilité ,npai ,bounce ,blackliste ,taux de conversion,,,,,,,,,,,,,
